mana_cost1,name1,type_line0,mana_cost0,type_line1,oracle_text0,name0,oracle_text1
,Skyclave Invader,Creature — Merfolk Scout,{1}{U},Creature — Phyrexian Merfolk Scout,"Flying
{4}{G/P}: Transform Skyclave Aerialist. Activate only as a sorcery. ({G/P} can be paid with either {G} or 2 life.)",Skyclave Aerialist,"Flying
When this creature transforms into Skyclave Invader, look at the top card of your library. If it's a land card, you may put it onto the battlefield. If you don't put the card onto the battlefield, put it into your hand."
,,Creature — Bird Citizen,{1}{W},,"Flying, lifelink
{3}{W}: You and target opponent each draw a card.",Sky Crier,
,,Creature — Spider,{2}{B}{G},,"Reach
When Skyfisher Spider enters the battlefield, you may sacrifice another creature. When you do, destroy target nonland permanent.
When Skyfisher Spider dies, you may gain 1 life for each creature card in your graveyard. If you do, exile Skyfisher Spider from your graveyard.",Skyfisher Spider,
,,Creature — Phyrexian Beast,{5}{G},,"Reach, trample
Skyscythe Engulfer can't be blocked by creatures with flying.",Skyscythe Engulfer,
,,Creature — Human Soldier,{2}{U},,"Flying
Whenever Skystrike Officer attacks, create a 1/1 colorless Soldier artifact creature token.
Tap three untapped Soldiers you control: Draw a card.",Skystrike Officer,
,,Creature — Fish,{3}{U},,"Flying
Whenever an artifact enters the battlefield under your control, you may draw a card. If you do, discard a card.",Skyswimmer Koi,
,,Creature — Zombie Drake,{3}{U}{U},,"Flying
When Skywarp Skaab enters the battlefield, you may exile two creature cards from your graveyard. If you do, draw a card.",Skywarp Skaab,
,,Artifact,{4},,"Whenever Slagstone Refinery or another nontoken artifact you control is put into a graveyard from the battlefield or is put into exile from the battlefield, create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")",Slagstone Refinery,
,,Creature — Phyrexian Cleric,{G}{W},,"Toxic 2 (Players dealt combat damage by this creature also get two poison counters.)
Whenever another creature you control with toxic attacks, it gets +1/+1 until end of turn.",Slaughter Singer,
,,Creature — Vampire Warrior,{1}{B},,"When Slaughter Specialist enters the battlefield, each opponent creates a 1/1 white Human creature token.
Whenever a creature an opponent controls dies, put a +1/+1 counter on Slaughter Specialist.",Slaughter Specialist,
,,Enchantment — Aura,{2}{U}{U},,"Enchant creature
When Sleep with the Fishes enters the battlefield, tap enchanted creature and you create a 1/1 blue Fish creature token with ""This creature can't be blocked.""
Enchanted creature doesn't untap during its controller's untap step.",Sleep with the Fishes,
,,Sorcery,{4}{G},,"Domain — Search your library for up to two land cards that each have a basic land type, put them onto the battlefield tapped, then shuffle. Look at the top X cards of your library, where X is the number of basic land types among lands you control. Put up to one of them on top of your library and the rest on the bottom of your library in a random order.",Slimefoot's Survey,
,,Instant,{U},,Put a +1/+1 counter on target creature. It phases out. (Treat it and anything attached to it as though they don't exist until its controller's next turn.),Slip Out the Back,
,,Legendary Creature — Phyrexian Goblin Artificer,{2}{R},,"{T}, Sacrifice an artifact: Add an amount of {R} equal to the sacrificed artifact's mana value. Spend this mana only to cast artifact spells or activate abilities of artifacts.","Slobad, Iron Goblin",
,,Legendary Creature — Ooze,{1}{G}{U},,"Trample
Whenever a land card is put into your graveyard from anywhere, put a +1/+1 counter on Slogurk, the Overslime.
Remove three +1/+1 counters from Slogurk: Return it to its owner's hand.
When Slogurk leaves the battlefield, return up to three target land cards from your graveyard to your hand.","Slogurk, the Overslime",
,,Creature — Horror,{3}{U}{U},,"Whenever Sludge Monster enters the battlefield or attacks, put a slime counter on up to one other target creature.
Non-Horror creatures with slime counters on them lose all abilities and have base power and toughness 2/2.",Sludge Monster,
,,Sorcery,{1}{R},,"Choose one —
• Destroy target artifact.
• Destroy target creature with defender.
• Smash to Dust deals 1 damage to each creature your opponents control.",Smash to Dust,
,Ashmouth Dragon,Creature — Dragon Egg,{1}{R},Creature — Dragon,"Defender
Whenever you cast an instant or sorcery spell, put a number of ember counters on Smoldering Egg equal to the amount of mana spent to cast that spell. Then if Smoldering Egg has seven or more ember counters on it, remove them and transform Smoldering Egg.",Smoldering Egg,"Flying
Whenever you cast an instant or sorcery spell, Ashmouth Dragon deals 2 damage to any target."
,,Creature — Spider,{1}{G},,"Reach
Whenever Snarespinner blocks a creature with flying, Snarespinner gets +2/+0 until end of turn.",Snarespinner,
,,Creature — Wolf,{G},,{1}{G}: Snarling Wolf gets +2/+2 until end of turn. Activate only once each turn.,Snarling Wolf,
,,Creature — Human Rogue,{U}{B},,"When Snooping Newsie enters the battlefield, mill two cards. (Put the top two cards of your library into your graveyard.)
As long as there are five or more mana values among cards in your graveyard, Snooping Newsie gets +1/+1 and has lifelink.",Snooping Newsie,
,,Creature — Drake,{2}{U},,Flying,Soaring Drake,
,,Creature — Human Druid,{2}{G},,"Alliance — Whenever another creature enters the battlefield under your control, you gain 1 life.",Social Climber,
,,Legendary Land,,,"{T}: Add {R}.
Channel — {3}{R}, Discard Sokenzan, Crucible of Defiance: Create two 1/1 colorless Spirit creature tokens. They gain haste until end of turn. This ability costs {1} less to activate for each legendary creature you control.","Sokenzan, Crucible of Defiance",
,,Creature — Goblin Artificer,{1}{R},,"At the beginning of combat on your turn, you may pay {1} and sacrifice an artifact. If you do, create a 3/1 red Construct artifact creature token with haste.",Sokenzan Smelter,
,,Legendary Creature — Elemental Demon,{2}{U}{B}{R},,"At the beginning of your end step, choose one that hasn't been chosen —
• Draw a card.
• Each opponent loses 2 life and you gain 2 life.
• Sol'Kanar the Tainted deals 3 damage to up to one other target creature or planeswalker.
• Exile Sol'Kanar, then return it to the battlefield under an opponent's control.",Sol'Kanar the Tainted,
,,Legendary Creature — Phyrexian Horror,{2}{R}{R},,"If a source you control would deal noncombat damage to an opponent or a permanent an opponent controls, it deals double that damage to that player or permanent instead.
{1}{R/P}{R/P}, Discard two cards: Put an indestructible counter on Solphim, Mayhem Dominus. ({R/P} can be paid with either {R} or 2 life.)","Solphim, Mayhem Dominus",
,,Legendary Planeswalker — Sorin,{2}{B}{B},,"+1: Look at the top card of your library. You may reveal that card and put it into your hand. If you do, you lose life equal to its mana value.
-2: Create a 2/3 black Vampire creature token with flying and lifelink.
-7: Sorin the Mirthless deals 13 damage to any target. You gain 13 life.",Sorin the Mirthless,
,Cipherbound Spirit,Artifact,{1}{U},Creature — Spirit,"Soulcipher Board enters the battlefield with three omen counters on it.
{1}{U}, {T}: Look at the top two cards of your library. Put one of them into your graveyard.
Whenever a creature card is put into your graveyard from anywhere, remove an omen counter from Soulcipher Board. Then if it has no omen counters on it, transform it.",Soulcipher Board,"Flying
Cipherbound Spirit can block only creatures with flying.
{3}{U}: Draw two cards, then discard a card."
,,Creature — Hippogriff Spirit,{4}{W},,"Flying
When Soul-Guide Gryff enters the battlefield, exile up to one target card from a graveyard.",Soul-Guide Gryff,
,,Artifact Creature — Phyrexian Golem,{2},,"Permanent cards in graveyards can't enter the battlefield.
Players can't cast noncreature spells from graveyards or exile.",Soulless Jailer,
,,Creature — Avatar,{4}{G}{W}{U},,"When Soul of Emancipation enters the battlefield, destroy up to three other target nonland permanents. For each of those permanents, its controller creates a 3/3 white Angel creature token with flying.",Soul of Emancipation,
,,Legendary Creature — Cat Avatar,{1}{B}{R}{G},,"Whenever Soul of Windgrace enters the battlefield or attacks, you may put a land card from a graveyard onto the battlefield tapped under your control.
{G}, Discard a land card: You gain 3 life.
{1}{R}, Discard a land card: Draw a card.
{2}{B}, Discard a land card: Soul of Windgrace gains indestructible until end of turn. Tap it.",Soul of Windgrace,
,,Instant,{1}{W},,"Exile target nonland permanent. For as long as that card remains exiled, its owner may play it. A spell cast by an opponent this way costs {2} more to cast.",Soul Partition,
,,Sorcery,{1}{B}{B},,"Choose one. If you control an artifact and an enchantment as you cast this spell, you may choose both.
• Exile target creature or planeswalker.
• Return target creature or planeswalker card from your graveyard to your hand.",Soul Transfer,
,,Creature — Cat Citizen,{2}{G}{W}{U},,"When Spara's Adjudicators enters the battlefield, target creature an opponent controls can't attack or block until your next turn.
{2}, Exile Spara's Adjudicators from your hand: Target land gains ""{T}: Add {G}, {W}, or {U}"" until Spara's Adjudicators is cast from exile. You may cast Spara's Adjudicators for as long as it remains exiled.",Spara's Adjudicators,
,,Land — Forest Plains Island,,,"({T}: Add {G}, {W}, or {U}.)
Spara's Headquarters enters the battlefield tapped.
Cycling {3} ({3}, Discard this card: Draw a card.)",Spara's Headquarters,
,,Enchantment,{2}{W},,"When Spark Rupture enters the battlefield, draw a card.
Each planeswalker with one or more loyalty counters on it loses all abilities and is a creature with power and toughness each equal to the number of loyalty counters on it.",Spark Rupture,
,,Creature — Bird Citizen,{4}{W},,"Flying
When Speakeasy Server enters the battlefield, you gain 1 life for each other creature you control.",Speakeasy Server,
,,Creature — Spirit,{1}{U},,"Flash
Flying
When Spectral Adversary enters the battlefield, you may pay {1}{U} any number of times. When you pay this cost one or more times, put that many +1/+1 counters on Spectral Adversary, then up to that many other target artifacts, creatures, and/or enchantments phase out.",Spectral Adversary,
,,Artifact Creature — Soldier,{1},,"Protection from multicolored (This creature can't be blocked, targeted, dealt damage, enchanted, or equipped by anything multicolored.)
Whenever a nonbasic land enters the battlefield under an opponent's control, you gain 1 life.",Spectrum Sentinel,
,,Instant,{U},,Counter target noncreature spell unless its controller pays {2}.,Spell Pierce,
,Spellrune Howler,Creature — Human Shaman Werewolf,{2}{R},Creature — Werewolf,"Whenever you cast an instant or sorcery spell, Spellrune Painter gets +1/+1 until end of turn.
Daybound (If a player casts no spells during their own turn, it becomes night next turn.)",Spellrune Painter,"Whenever you cast an instant or sorcery spell, Spellrune Howler gets +2/+2 until end of turn.
Nightbound (If a player casts at least two spells during their own turn, it becomes day next turn.)"
